html_url,stargazers_count,language,topics,description,loc,source_files,model_files,data_files,type,relation,,,
https://github.com/vyraun/long-tailed,10,Python,long-tail|nmt,"Code for ""On Long-Tailed Phenomena in NMT"".",59474,382,0,21,"Library, Experiment",ML-Technology,,,
https://github.com/royee182/DPL,35,Python,,,8166,107,0,25,"Library, Experiment",ML-Technology,,,
https://github.com/singnet/dnn-model-services,29,Python,, A collection of SingularityNET services using third party DNN models.,7300,99,0,50,Library,Applied,,,
https://github.com/martin-sicho/genui,27,Python,chemical-space|cheminformatics|data-science|molecular-generation|qsar|rest-api|visualization|webapp,"The backend services of the GenUI framework. The backend provides the REST API used for molecular generation, QSAR modelling and chemical space visualization.",8465,290,0,4,Application,Applied,,,
https://github.com/arifwaqas/advanced-vehicle-surveillance-monitoring,10,Python,,"An affordable solution through image processing of the number plates of vehicles for the Detection , Identification and Monitoring of Vehicles in Different scenario using YoloV4",5547,40,0,17,Application,Applied,,,
https://github.com/benchmark-urbanism/cityseer-api,73,Python,architecture|centrality|geographical-information-system|landuse|morphometrics|network-analysis|network-centralities|network-topology|networks|networkx|numba|numpy|openstreetmap|osmnx|python3|shapely|spatial-analysis|spatial-data|spatial-data-analysis|urban-planning,Computational tools for urban analysis,7092,53,0,41,Library,Applied,,,
https://github.com/breezedeus/CnSTD,484,Python,deep-learning|math-formula-detection|object-detection|ocr|python|pytorch|scene-text-detection|text-detection,CnSTD: ?????????????????? PyTorch/MXNet ????????? ??????????????????/?????????????????? ???????????????????????????????????????????????????????????????Scene Text Detection???????????????????????????????,11163,63,0,32,Library,ML-Technology,,,
https://github.com/trainingl/STG4Traffic,16,Python,,A benchmark study of using spatio-temporal graph neural networks for traffic prediction.,6219,104,6,11,Experiment,ML-Tools,,,
https://github.com/YuWenLo/HarDNet-DFUS,14,Python,,,7638,42,0,3,"Library, Experiment",ML-Technology,,,
https://github.com/amzn/amazon-ray,62,Python,,Staging area for ongoing enhancements to Ray focused on improving integration with AWS and other Amazon technologies.,251860,2579,3,321,Framework,ML-Tools,,,
https://github.com/kumagai-group/pydefect,29,Python,point-defects|python3|vasp|vasp-calculations,Python library for point-defect calculations in non-metallic solids based on first-principle calculations with the VASP code.,12570,196,0,95,Library,Applied,,,
https://github.com/pliang279/sent_debias,52,Python,fairness-ai|machine-learning|natural-language-processing|representation-learning,[ACL 2020] Towards Debiasing Sentence Representations,8354,38,0,1016,"Library, Experiment",ML-Technology,,,
https://github.com/ghrua/NgramRes,19,Python,,,98235,872,0,10,"Library, Experiment",ML-Technology,,,
https://github.com/ludybupt/FATRER,10,Python,conversational-emotion-recognition|emotion-detection|emotion-recognition|emotion-recognition-in-conversation|erc|iemocap|pytorch|regularizer|topic-modeling,"[ECAI 2023] Official implementation of ""FATRER: Full-Attention Topic Regularizer for Accurate and Robust Conversational Emotion Recognition""",13055,265,0,51,"Library, Experiment",ML-Technology,,,
https://github.com/fe1ixxu/BiBERT,29,Python,,"This is the repository of the EMNLP 2021 paper ""BERT, mBERT, or BiBERT? A Study on Contextualized Embeddings for Neural Machine Translation"".",58564,548,0,2,Experiment,ML-Technology,,,
https://github.com/WENGSYX/CirBERTa,39,Python,,Apply the Circular to the Pretraining Model,6799,87,0,14,Experiment,ML-Technology,,,
https://github.com/nickc1/seebuoy,14,Python,buoy|ndbc|ndbc-buoy-data|noaa|science,Easily pull data from the National Data Buoy Center.,7850,15,0,10,Library,Applied,,,
https://github.com/jonaswinkler/paperless-ng,5361,Python,angular|archiving|django|dms|document-management-system|full-text-search|machine-learning|ocr|search,"A supercharged version of paperless: scan, index and archive all your physical documents",11405,332,0,70,Application,Applied,,,
https://github.com/cindyxinyiwang/emea,12,Python,,,107892,504,0,53,"Library, Experiment",ML-Technology,,,
https://github.com/bentoml/BentoML,5854,Python,ai|ai-infra|bentoml|deep-learning|generative-ai|inference-api|kubernetes|llmops|lmops|machine-learning|microservices|ml-platform|mlops|model-deployment|model-inference|model-management|model-serving|multimodal-deep-learning,Build Production-Grade AI Applications,43817,505,0,157,Framework,ML-Tools,,,
https://github.com/pixelite1201/BEDLAM,157,Python,,,12741,91,0,7,"Library, Experiment",Applied,,,
https://github.com/lirundong/quant-pack,12,Python,,[Ongoing Project] Codebase for network quantization study.,5955,104,0,1,"Library, Experiment",ML-Tools,,,
https://github.com/princetonvisualai/pointingqa,11,Python,,"Code for paper ""Point and Ask: Incorporating Pointing into Visual Question Answering""",21845,297,0,63,"Library, Experiment",Applied,,,
https://github.com/Adamdad/ConsistentTeacher,242,Python,mmdetection|object-detection|sample-efficiency|semi-supervised-learning|semi-supervised-object-detection|ssod,[CVPR2023 Highlight] Consistent-Teacher: Towards Reducing Inconsistent Pseudo-targets in Semi-supervised Object Detection,6735,72,0,12,"Library, Experiment",ML-Technology,,,
https://github.com/Professor-G/MicroLIA,10,Python,algorithm|detection|machine-learning|microlensing|random-forest,Gravitational microlensing classification engine using machine learning,7108,20,0,55,"Library, Experiment",Applied,,,
https://github.com/pietrobarbiero/logic_explained_networks,40,Python,deep-learning|explainable-ai|logic|machine-learning|neural-networks|xai,Logic Explained Networks is a python repository implementing explainable-by-design deep learning models.,10197,106,0,14,Library,ML-Technology,,,
https://github.com/mikekeith52/scalecast,274,Python,auto-ml|data-science|deep-learning|easy-to-use|forecasting|keras|lstm|machine-learning|mase|msis|pandas|python|recurrent-neural-networks|scikit-learn|scikit-learn-python|smape|time-series|vecm,The practitioner's forecasting library,7067,38,0,14,Library,ML-Technology,,,
https://github.com/ploomber/sklearn-evaluation,422,Python,data-science|deep-learning|jupyter-notebook|machine-learning|pytorch|scikit-learn|sklearn|tensorflow,"Machine learning model evaluation made easy: plots, tables, HTML reports, experiment tracking and Jupyter notebook analysis.",10534,155,0,142,Library,ML-Tools,,,
https://github.com/deel-ai/xplique,489,Python,explainable-ai|explainable-ml|interpretability|xai,???? Xplique is a Neural Networks Explainability Toolbox,7268,132,0,13,Library,ML-Tools,,,
https://github.com/chrisdonahue/sheetsage,183,Python,,Transcribe music into lead sheets!,5043,49,0,7,Application,Applied,,,
https://github.com/r-three/smear,11,Python,,,7493,53,0,16,Experiment,ML-Technology,,,
https://github.com/allenai/EmbeddingRecycling,36,Python,efficient-nlp|machine-learning|natural-language-processing|nlp|transfer-learning-nlp,Embedding Recycling for Language models,26635,105,0,35,"Library, Experiment",ML-Technology,,,
https://github.com/drivendataorg/open-ai-caribbean,22,Python,,,11091,95,0,19,Application,Applied,,,
https://github.com/VITA-Group/mm-hand,23,Python,,"[ACM'MM 2020] ""MM-Hand: 3D-Aware Multi-Modal Guided Hand Generative Network for 3D Hand Pose Synthesis"" Zhenyu Wu, Duc Hoang, Shih-Yao Lin, Yusheng Xie, Liangjian Chen, Yen-Yu Lin, Zhangyang Wang, Wei Fan",24354,198,0,4,"Library, Experiment",ML-Technology,,,
https://github.com/yichen928/SparseFusion,109,Python,,[ICCV 2023] SparseFusion: Fusing Multi-Modal Sparse Representations for Multi-Sensor 3D Object Detection,48647,440,0,10,"Library, Experiment",ML-Technology,,,
https://github.com/facebookresearch/recipes,248,Python,,"Recipes are a standard, well supported set of blueprints for machine learning engineers to rapidly train models using the latest research techniques without significant engineering overhead.Specifically, recipes aims to provide- Consistent access to pre-trained SOTA models ready for production- Reference implementations for SOTA research reproducibility, and infrastructure to guarantee correctness, efficiency, and interoperability.",5740,132,1,5,Application,ML-Tools,,,
https://github.com/alexklwong/learning-topology-synthetic-data,36,Python,3d-reconstruction|3d-vision|computer-vision|deep-learning|depth|depth-completion|depth-estimation|icra|kitti|machine-learning|ral|self-supervised-learning|sensor-fusion|tensorflow|ucla|unsupervised-learning|void,Tensorflow implementation of Learning Topology from Synthetic Data for Unsupervised Depth Completion (RAL 2021 & ICRA 2021),13376,88,0,6,Library,ML-Technology,,,
https://github.com/keras-team/keras-core,1231,Python,,"A multi-backend implementation of the Keras API, with support for TensorFlow, JAX, and PyTorch.",114580,690,0,3,Library,ML-Technology,,,
https://github.com/sunnyhaibin/sunnypilot,458,Python,acura|audi|autopilot|chrysler|comma|fsd|genesis|honda|hyundai|jeep|kia|lexus|mazda|nissan|openpilot|ram|selfdriving|tesla|toyota|volkswagen,"sunnypilot is a fork of comma.ai's openpilot, an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 250 supported car makes and models with modified behaviors of driving assist engagements. sunnypilot complies with comma.ai's safety rules as accurately as possible.",56562,639,0,179,Application,Applied,,,
https://github.com/Victorwz/LongMem,671,Python,,"Official implementation of our NeurIPS 2023 paper ""Augmenting Language Models with Long-Term Memory"". ",145832,1003,0,21,"Library, Experiment",ML-Technology,,,
https://github.com/aisingapore/sgnlp,31,Python,,Machine learning models from Singapore's NLP research community,15167,197,0,87,Library,ML-Technology,,,
https://github.com/facebookresearch/theseus,1456,Python,bilevel-optimization|computer-vision|deep-learning|differentiable-optimization|embodied-ai|gauss-newton|implicit-differentiation|levenberg-marquardt|nonlinear-least-squares|pytorch|robotics,A library for differentiable nonlinear optimization,24449,230,1,15,Library,ML-Tools,,,
https://github.com/b-it-bots/mas_industrial_robotics,24,Python,,MAS Industrial Robotics,17542,193,2,355,Application,Applied,,,
https://github.com/Gentopia-AI/Gentopia,212,Python,,Build Hierarchical Autonomous Agents through Config. Collaborative Growth of Specialized Agents.,5883,128,0,9,Framework,ML-Tools,,,
https://github.com/csebuetnlp/xl-sum,230,Python,abstractive-summarization|abstractive-text-summarization|dataset|deep-learning|low-resource-languages|low-resource-summarization|low-resource-text-summarizarion|machine-learning|multilingual|multilingual-summarization|multilingual-text-summarization|multilinguality|summarization-corpora|summarization-dataset|text-summarisation|text-summarization|text-summarization-dataset|text-summarization-model,"This repository contains the code, data, and models of the paper titled ""XL-Sum: Large-Scale Multilingual Abstractive Summarization for 44 Languages"" published in Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021.",159116,757,0,50,"Library, Experiment",ML-Technology,,,
https://github.com/zengrx/S.M.A.R.T,17,Python,machine-learning|malware-analysis|pyqt4|python,static malware analysis and report tool open source version for linux,6388,59,0,49,Application,Applied,,,
https://github.com/JayMan91/NeurIPSIntopt,15,Python,,"Implementation of ""Interior Point Solving for LP-based prediction+optimisation"" paper in Neurips 2020.",8328,40,0,6,"Library, Experiment",ML-Technology,,,
https://github.com/darkreactions/DRP,57,Python,,,21158,365,0,178,Application,Applied,,,
https://github.com/husseinmozannar/SOQAL,148,Python,arabic|arabic-language|arabic-nlp|deep-learning|nlp|question-answering|reading-comprehension|tf-idf,Arabic Open Domain Question Answering System using Neural Reading Comprehension,6236,35,0,7,Application,Applied,,,
https://github.com/Farbod-Siahkali/Iranian-Vehicle-Tracking-and-Recognition,10,Python,car-detection|car-tracking|deep-learning|persian-car|pytorch|vehicle-detection|vehicle-recognition|vehicle-tracking|yolov5,"Iranian Vehicle Tracking and Recognition + License Plate Recognition Using Yolov5, OSNet",21241,186,0,6,Application,Applied,,,
https://github.com/Raphael-Hao/brainstorm,25,Python,compiler|dynamic-neural-network,Compiler for Dynamic Neural Networks,64329,586,0,661,Application,ML-Tools,,,
https://github.com/elmpystudio/pyStudio,117,Python,dagster|data-science|machine-learning,The easier way to do machine learning in Python without coding!,6281,157,1,79,Application,ML-Tools,,,
https://github.com/sungnyun/openssl-simcore,16,Python,coreset|openssl|pytorch|self-supervised-learning,(CVPR 2023) Coreset Sampling from Open-Set for Fine-Grained Self-Supervised Learning,10432,123,0,8,"Library, Experiment",ML-Technology,,,
https://github.com/wangqiang9/SketchKnitter,40,Python,diffusion|diffusion-model|diffusion-models|pytorch|sketch|sketches|sketching,"About PyTorch implementation of SketchKnitter: Vectorized Sketch Generation with Diffusion Models, ICLR 2023, Spotlight.",5825,58,6,15,"Library, Experiment",ML-Technology,,,
https://github.com/litus-ai/classy,82,Python,bert|bert-fine-tuning|deep-learning|natural-language-generation|natural-language-processing|natural-language-understanding|neural-network|nlp|nlp-library|pytorch|pytorch-lightning|seq2seq|sequence-to-sequence|transformers,classy is a simple-to-use library for building high-performance Machine Learning models in NLP.,7410,97,0,29,Library,"ML-Technology, ML-Tools",,,
https://github.com/amirhk/recourse,31,Python,algorithmic-recourse|causality|counterfactual-explanations|explainable-ai|explainable-ml|machine-learning|xai,Code to reproduce our paper on probabilistic algorithmic recourse: https://arxiv.org/abs/2006.06831,5266,32,0,5,Experiment,ML-Technology,,,
https://github.com/yzqin/s4g-release,32,Python,grasping|point-cloud,S4G: Amodal Single-view Single-Shot SE(3) Grasp Detection in Cluttered Scene,8143,105,2,8,"Library, Experiment","Applied, ML-Technology",,,
https://github.com/Haschtl/RealTimeOpenControl,18,Python,calculator|controlling|graphic|logger|logging|measurement|measurements|multidevice|opencontrol|plot|plotting|pyqtgraph|python|realtime|remote|tcp-connection|tcp-server|telegram-bot,"Measurement and plot software for multi-device measurement and controlling. Fully adjustible with own plugin-interface, TCP-Server and User-Python-scripts to interact with devices and measurements",14299,75,0,136,Application,Applied,,,
https://github.com/jordiclive/ControlPrefixes,84,Python,,,5462,20,0,4,"Library, Experiment",ML-Technology,,,
https://github.com/pysal/spopt,219,Python,facility-location|location-allocation|location-modeling|python|regionalization|resource-planning|routing|spatial-analysis|spatial-optimization|transportation,Spatial Optimization,6367,66,0,18,Library,Applied,,,
https://github.com/dbkgroup/prop_gen,37,Python,,A novel hybrid method for generating molecules with desired property scores.,9657,106,0,27,"Library, Experiment",Applied,,,
https://github.com/Lynne-Zheng-Linfang/HS-Pose,27,Python,,HS-Pose (CVPR 2023). Pytorch implementation of HS-Pose: Hybrid Scope Feature Extraction for Category-level Object Pose Estimation.,11477,82,0,4,"Library, Experiment","Applied, ML-Technology",,,
https://github.com/ArztSamuel/DRL_DeliveryDuel,36,Python,3d|deep-learning|deep-reinforcement-learning|reinforcement-learning|video-game,Deep Reinforcement Learning applied to a modern 3D video-game environment called Delivery Duel.,19311,264,0,190,"Framework,Experiment",Applied,,,
https://github.com/Sirui-Xu/InterDiff,130,Python,3d-human-pose|6d|deep-learning|diffusion|diffusion-models|generative-ai|generative-model|human-motion-prediction|human-object-interaction|human-scene-interaction|motion-prediction|object-pose,"[ICCV 2023] Official PyTorch implementation of the paper ""InterDiff: Generating 3D Human-Object Interactions with Physics-Informed Diffusion""",6280,42,0,7,"Library, Experiment","Applied, ML-Technology",,,
https://github.com/facebookresearch/UnsupervisedDecomposition,118,Python,,"PyTorch original implementation of ""Unsupervised Question Decomposition for Question Answering""",23345,151,0,13,"Library, Experiment","Applied, ML-Technology",,,
https://github.com/TheoViel/nfl_impact_detection,30,Python,,Solution for the NFL 1st and Future - Impact Detection competition,39005,436,0,117,"Experiment, Application",Applied,,,
https://github.com/Jilliansea/DTTM-Vehicle-Counting,13,Python,,,32077,268,0,77,"Application, Experiment",Applied,,,
https://github.com/yulkang/pylabyk,13,Python,,"Pylab-style utilities for PyTorch and Matplotlib, among others.",7250,37,0,0,Library,ML-Tools,,,
https://github.com/yeonsw/RankEncoder,33,Python,,,8095,54,0,1,"Library, Experiment",ML-Technology,,,
https://github.com/xcfcode/DDAMS,59,Python,,Codes for our IJCAI21 paper: Dialogue Discourse-Aware Graph Model and Data Augmentation for Meeting Summarization,9789,78,0,206,"Library, Experiment",Applied,,,
https://github.com/foocker/lsp,47,Python,,recreating the LSP(LiveSpeechPortraits) alg.,8123,89,0,4,Application,Applied,,,
https://github.com/cjerry1243/Tacotron2-SpeechGesture,10,Python,,"This is the official repository for our publication ""The IVI Lab entry to the GENEA Challenge 2022 ????????? A Tacotron2 Based Method for Co-Speech Gesture Generation With Locality-Constraint Attention Mech""",6262,43,0,2,"Library, Experiment",Applied,,,
https://github.com/nuwuxian/rl_attack,23,Python,,,7798,63,10,30,Experiment,ML-Technology,,,
https://github.com/S-Lab-System-Group/Lucid,32,Python,,"Lucid: A Non-Intrusive, Scalable and Interpretable Scheduler for Deep Learning Training Jobs",9372,116,0,16,"Library, Experiment","ML-Technology, ML-Tools",,,
https://github.com/DerekDardzinski/vaspvis,16,Python,,A highly flexible and customizable library for visualizing electronic structure data from VASP calculations.,12293,19,0,52,Library,Applied,,,
https://github.com/DependableSystemsLab/TensorFI,42,Python,fault|injection|learning|machine|tensorflow,TensorFI is a fault injection framework for injecting both hardware and software faults into applications written using the TensorFlow framework. You can find more information about TensorFI in the paper below.,7857,95,0,14,Framework,ML-Tools,,,
https://github.com/THUDM/P-tuning-v2,1668,Python,natural-language-processing|p-tuning|parameter-efficient-learning|pretrained-language-model|prompt-tuning,An optimized deep prompt tuning strategy comparable to fine-tuning across scales and tasks,14464,179,0,4,"Library, Experiment","Applied, ML-Tools",,,
https://github.com/utabuechler/uBAM,10,Python,,,11814,45,0,5,"Application, Library",Applied,,,
https://github.com/cgre-aachen/gempy,811,Python,bayesian|complex-geological-models|geological|geology|geoscience|implicit|interpolation|modeling|monte-carlo-simulation|python|theano|uncertainties|uncertainty-analysis|uq,"GemPy is an open-source, Python-based 3-D structural geological modeling software, which allows the implicit (i.e. automatic) creation of complex geological models from interface and orientation data. It also offers support for stochastic modeling to address parameter and model uncertainties.",5328,113,0,169,Library,Applied,,,
https://github.com/cy576013581/text-classification,56,Python,,????????????????????????????????????????????????,9671,46,0,12,Library,Applied,,,
https://github.com/ColinKohler/BulletArm,50,Python,,BulletArm is a benchmark and learning-environment for robotic manipulation.,26089,364,0,112,Framework,Applied,,,
https://github.com/mosaicml/llm-foundry,3128,Python,deep-learning|llm|neural-networks|nlp|pytorch,LLM training code for MosaicML foundation models,19160,124,0,2,Library,ML-Tools,,,
https://github.com/YangRui2015/RORL,13,Python,offline-reinforcement-learning|reinforcement-learning|robust-reinforcement-learning,"Code for NeurIPS 2022 paper ""Robust offline Reinforcement Learning via Conservative Smoothing""",7659,97,0,9,Experiment,0,,,
https://github.com/Project-MONAI/VISTA,71,Python,,MONAI Versatile Imaging Segmentation and Annotation,13596,85,0,48,Application,0,,,
https://github.com/OpenSolarPV/OpenPV,17,Python,,Open Solar PV Benchmarks ,36185,1002,0,49,Framework,0,,,
https://github.com/ZTX-100/DLA-Combined-IoUs,12,Python,,,11184,145,0,16,Experiment,0,,,
https://github.com/zihaoliu123/Feature-Distillation-DNN-Oriented-JPEG-Compression-Against-Adversarial-Examples,13,Python,,,8572,110,2,26,Experiment,0,,,
https://github.com/calliope-project/calliope,242,Python,energy|energy-system|optimisation|pyomo|python,A multi-scale energy systems modelling framework,14482,66,0,32,Framework,0,,,
https://github.com/fenglinglwb/MAT,562,Python,,MAT: Mask-Aware Transformer for Large Hole Image Inpainting,6810,49,0,11,"Application, Library, (Experiment)?",0,,,
https://github.com/TharinduDR/TransQuest,98,Python,deep-learning|quality-estimation|transformers,Transformer based translation quality estimation,11437,191,0,5,"Framework, Library",0,,,
https://github.com/MrVPlusOne/Coeditor,14,Python,autocomplete|pytorch|transformer-architecture|vscode-extension,Leveraging Contextual Changes for Multi-round Code Auto-editing,8690,51,0,1,Library,0,,,
https://github.com/asigalov61/Allegro-Music-Transformer,14,Python,artificial-intelligence|gradio|gradio-interface|music|music-ai|music-composition|music-generation|music-transformer|onnx|onnx-models|onnxruntime,"Full-attention multi-instrumental music transformer featuring asymmetrical encoding with octo-velocity, and chords counters tokens, optimized for speed and performance",10443,19,0,18,Application,0,,,
https://github.com/Deep-Spark/DeepSparkHub,26,Python,,"DeepSparkHub selects hundreds of application algorithms and models, covering various fields of AI and general-purpose computing, to support the mainstream intelligent computing scenarios.",1293313,14209,5,682,"Library, Experiment, Framework?",0,,,
https://github.com/microsoft/Cream,1323,Python,automl|efficiency|knowledge-distillation|nas|rpe|vision-transformer|vit-compression,This is a collection of our NAS and Vision Transformer work.,87334,757,0,67,Library,0,,,
https://github.com/dlr-wf/crackpy,34,Python,computational-science|crack-detection|digital-image-correlation|fatigue-crack-growth|fracture-mechanics,Crack Analysis Tool in Python (CrackPy) - automatic detection and fracture mechanical analysis of (fatigue) cracks using digital image correlation,6409,85,3,32,"Library, Experiment",0,,,
https://github.com/Lightning-AI/lit-gpt,3441,Python,,"Hackable implementation of state-of-the-art open-source LLMs based on nanoGPT. Supports flash attention, 4-bit and 8-bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.",7998,66,0,7,Application,0,,,
https://github.com/boston-dynamics/spot-sdk,2137,Python,,Spot SDK repo ,49988,392,1,564,"Framework, Experiment",0,,,
https://github.com/snap-research/R2L,172,Python,deep-learning|distillation|mlp|nerf|neural-light-field|novel-view-synthesis|rendering,[ECCV 2022] R2L: Distilling Neural Radiance Field to Neural Light Field for Efficient Novel View Synthesis,6232,23,0,63,Library,0,,,
https://github.com/AlessandroRuzzi/GazeNeRF,34,Python,,Official repository for CVPR 2023 paper: GazeNeRF: 3D-Aware Gaze Redirection with Neural Radiance Fields,11616,73,4,66,"Experiment, Library",0,,,
https://github.com/zhongxia96/SemSUM,25,Python,,"Code for AAAI'20 paper ""SemSUM: Semantic Dependency Guided Neural Abstractive Summarization"" .",14352,125,0,0,"Experiment, Library",0,,,
https://github.com/Nicholasli1995/SNVC,11,Python,3d-computer-vision|3d-object-detection|3d-pose-estimation|6dof-pose|autonomous-driving|deep-learning|detection|high-resolution-net|instance-level|model-agnostic|multi-resolution|object-detection|perception|refinement-network|robot-vision|stereo-camera|stereo-vision|tracking|tracking-by-detection|voxel,"Official project website for the AAAI 2022 paper ""Stereo Neural Vernier Caliper""",9133,44,0,7,Framework,0,,,
https://github.com/releaunifreiburg/DPL,10,Python,benchmark|computer-vision|deep-learning|hpo|hyperparameter-optimization|hyperparameter-tuning|large-language-models|llm|machine-learning|mlp|natural-language-processing|neurips|neurips-2023|power-laws|scaling-laws|tabular-data|transformer,[NeurIPS 2023] Multi-fidelity hyperparameter optimization with deep power laws that achieves state-of-the-art results across diverse benchmarks.,5283,52,0,19,Experiment,0,,,
https://github.com/AIRI-Institute/StyleDomain,18,Python,domain-adaptation|generative-adversarial-network|iccv2023|styledomain|stylegan2|stylegan2-ada|stylization,"Official Implementation for ""StyleDomain: Efficient and Lightweight Parameterizations of StyleGAN for One-shot and Few-shot Domain Adaptation"" (ICCV 2023)",18561,160,10,23,Experiment,0,,,
https://github.com/mainuliitkgp/AR-BERT,12,Python,,"Code for our WWW'22 paper: ""AR-BERT: Aspect-relation enhanced Aspect-level Sentiment Classification with Multi-modal Explanations""",19576,101,0,12,Library,0,,,
https://github.com/liguowang/cpgtools,31,Python,bioinformatics|dna|epigenetics|epigenomics|methylation,Python package to analyze DNA methylation data,1751781,155,0,115,"Library, Framework",0,,,
https://github.com/AtrCheema/AI4Water,47,Python,deep-learning|machine-learning|tabular-data|time-series,framework for developing machine (and deep) learning models for structured data,41356,217,0,36,Framework,0,,,
https://github.com/joschout/tilde,22,Python,decision-trees|inductive-logic-programming|machine-learning,Top-down induction of first-order logical decision trees: master AI thesis implementation,9901,231,0,116,Library,0,,,
https://github.com/bigpon/vcc20_baseline_cyclevae,131,Python,baseline|cyclevae-vc|parallel-wavenet-vocoder|pytorch|vcc2020|voice-conversion,Voice Conversion Challenge 2020 CycleVAE baseline system ,6206,38,0,2,Library,0,,,
https://github.com/hustvl/TeViT,223,Python,instance-segmentation|video-instance-segmentation|video-understanding,"Temporally Efficient Vision Transformer for Video Instance Segmentation, CVPR 2022, Oral",83289,1133,0,24,Framework,0,,,
https://github.com/aroongta/Pedestrian_Trajectory_Prediction,35,Python,,Implementation of Recurrent Neural Networks for future trajectory prediction of pedestrians. ,5502,46,627,1306,Experiment,0,,,
https://github.com/conor19w/Binance-Futures-Trading-Bot,402,Python,algorithmic-trading|backtesting|binance|binance-bot|binance-futures|bitcoin|bot|crypto-bot|cryptocurrencies|cryptocurrency|cryptocurrency-trading-bot|ethereum|perpetual|technical-analysis|trading|trading-algorithms|trading-bot|trading-bots|trading-strategies,A Technical Analysis Bot that trades leveraged USDT futures markets on Binance.,9971,27,0,14,Framework,0,,,
https://github.com/friendliai/periflow-client,16,Python,generative-ai|gpt|gpt3|inference|inference-engine|inference-server|llama2|llm|llm-inference|llm-serving|llmops|llms|mpt|serving,PeriFlow: the fastest serving engine for generative AI such as LLMs,13647,144,0,0,Application,0,,,
https://github.com/CircleRadon/APro,37,Python,,"The code for ""Label-efficient Segmentation via Affinity Propagation"". [NeurIPS2023]",31773,311,0,13,Library,0,,,
https://github.com/adversarial-for-goodness/Co-Attack,17,Python,,official PyTorch implement of Towards Adversarial Attack on Vision-Language Pre-training Models,6312,37,0,3,Library,0,,,
