html_url,description,homepage,stargazers_count,language,loc,source_files,model_files,data_files,category,,Research,Library,Toolset,Other/Unknown,Framework,System
https://github.com/lonePatient/TorchBlocks,A PyTorch-based toolkit for natural language processing,,137,Python,5173,172,0,1,toolset,framework,,,,,,
https://github.com/showlab/EgoVLP,[NeurIPS2022] Egocentric Video-Language Pretraining,https://arxiv.org/pdf/2206.01670.pdf,190,Python,6083,54,0,13,research,,,,,,,
https://github.com/MingSun-Tse/TPP,[ICLR'23] Trainability Preserving Neural Pruning (PyTorch),,25,Python,5550,47,0,8,research,,,,,,,
https://github.com/Maclory/SPSR,Pytorch implementation of Structure-Preserving Super Resolution with Gradient Guidance (CVPR 2020 & TPAMI 2021) ,,430,Python,8963,67,6,131,research,,,,,,,
https://github.com/LucasAlegre/morl-baselines,Multi-Objective Reinforcement Learning algorithms implementations.,https://lucasalegre.github.io/morl-baselines,144,Python,5283,59,0,3,research,,,,,,,
https://github.com/NHZlX/Auto_pruning,auto Iterative pruning based on caffe,,22,C++,42988,288,3,28,research,,,,,,,
https://github.com/ise-uiuc/DeepREL,Fuzzing Deep-Learning Libraries via Automated Relational API Inference (ESEC/FSE 2022),,26,Python,5315,48,0,8677,research,,,,,,,
https://github.com/CupidJay/Training-Vision-Transformers-with-only-2040-images,Official PyTorch implementation of training vision transformers with only 2040 images.,,46,Python,5336,34,0,0,research,,,,,,,
https://github.com/guillaumejs2403/DiME,Official Code for the ACCV 2022 paper Diffusion Models for Counterfactual Explanations,https://guillaumejs2403.github.io/projects/dime.html,19,Python,5025,30,0,1,research,,,,,,,
https://github.com/kentaroy47/DatasetCulling,:scissors:  Dataset Culling: Faster training of domain specific models with distillation :scissors: (IEEE ICIP 2019),https://arxiv.org/abs/1902.00173,27,Python,24949,108,0,4,research,,,,,,,
https://github.com/megvii-research/MOTR,[ECCV2022] MOTR: End-to-End Multiple-Object Tracking with TRansformer,,499,Python,7839,71,0,2,research,,,,,,,
https://github.com/castorini/castor,PyTorch deep learning models for text processing,http://castor.ai/,179,Python,5707,114,0,7,research,,,,,,,
https://github.com/facebookresearch/r-mae,PyTorch implementation of R-MAE https//arxiv.org/abs/2306.05411,,98,Python,6572,55,0,1,research,,,,,,,
https://github.com/xzluo97/MvMM-RegNet,Code for paper: MvMM-RegNet: A new image registration framework based on multivariate mixture model and neural network estimation,,25,Python,9485,38,0,2,research,,,,,,,
https://github.com/ucloud/uai-sdk,UCloud AI SDK ,,33,Python,57502,571,4,39,Other,SDK to pack AI programs in cloud environment,,,,,,
https://github.com/mj000001/Object-Detection-And-Tracking,Target detection in the first frame and Tracking target by SiamRPN.,,40,Python,16417,73,0,638,research,tool,,,,,,
https://github.com/dinghanshen/SWEM,"The Tensorflow code for this ACL 2018 paper: ""Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms""",,285,Python,5507,50,0,3,research,,,,,,,
https://github.com/emaggiori/CaffeRemoteSensing,,,31,C++,42540,284,3,88,library,research,,,,,,
https://github.com/Suryavf/SelfDrivingCar,,,11,Python,10332,63,0,19,research,system,,,,,,
https://github.com/lonePatient/BERT-SDA,"A PyTorch implementation of ""Improving BERT Fine-Tuning via Self-Ensemble and Self-Distillation""",,54,Python,11737,76,0,1,research,,,,,,,
https://github.com/JasonGUTU/TorchTools,Some PyTorch tools for groupmate,,12,Python,7030,45,0,0,library,toolset,,,,,,
https://github.com/JackWoo0831/Yolov7-tracker,"Yolo v5, v7, v8 and several Multi-Object Tracker(SORT, DeepSORT, ByteTrack, BoT-SORT, etc.) in MOT17 and VisDrone2019 Dataset. It uses a unified style and integrated tracker for easy embedding in your own projects.",,443,Python,17513,101,2,14,toolset,,,,,,,
https://github.com/zerollzeng/tiny-tensorrt,Deploy your model with TensorRT quickly. ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,733,C++,14062,110,0,21,Other,tool for model deployment,,,,,,
https://github.com/GPflow/GPflow,Gaussian processes in TensorFlow,,1772,Python,21757,256,0,3,library,research,,,,,,
https://github.com/rehg-lab/CLRec,"Pytorch implementation for ""The Surprising Positive Knowledge Transfer in Continual 3D Object Shape Reconstruction""",,33,Python,43683,51,0,1,research,,,,,,,
https://github.com/zhoudw-zdw/CIL_Survey,"The code repository for ""Deep Class-Incremental Learning: A Survey"" in PyTorch.",http://arxiv.org/abs/2302.03648,134,Python,6531,161,0,26,research,,,,,,,
https://github.com/Wangt-CN/VC-R-CNN,[CVPR 2020] The official pytorch implementation of ``Visual Commonsense R-CNN'',,341,Python,20734,257,0,286,research,,,,,,,
https://github.com/pytorchbearer/torchbearer,torchbearer: A model fitting library for PyTorch,http://pytorchbearer.org,629,Python,11615,112,0,14,library,research,,,,,,
https://github.com/Chris10M/Lip2Speech,"A pipeline to read lips and generate speech for the read content, i.e Lip to Speech Synthesis.",,47,Python,5477,77,0,9,research,system,,,,,,
https://github.com/Near32/ReferentialGym,"This framework provides out-of-the-box implementations of Referential Games variants in order to study the emergence of artificial languages using deep learning, relying on PyTorch (https://www.pytorch.org).",,16,Python,30749,172,0,68,framework,,,,,,,
https://github.com/atomicsulfate/meshcnn-4-cadseg,Improved MeshCNN for surface type segmention on realistic CAD models.,https://atomicsulfate.github.io/meshcnn-4-cadseg/,10,Python,6644,102,0,60,research,,,,,,,
https://github.com/KevinMusgrave/pytorch-adapt,"Domain adaptation made easy. Fully featured, modular, and customizable.",https://kevinmusgrave.github.io/pytorch-adapt/,291,Python,14240,287,0,3,library,,,,,,,
https://github.com/jolibrain/fluidnet_cxx,FluidNet re-written with ATen tensor lib,,50,C++,8617,63,4,6,research,,,,,,,
https://github.com/taehoonlee/tensornets,High level network definitions with pre-trained weights in TensorFlow,,1010,Python,9331,55,0,2,Other,Collection of models,,,,,,
https://github.com/Alibaba-MIIL/Solving_ImageNet,"Official PyTorch implementation of  the paper: ""Solving ImageNet: a Unified Scheme for Training any Backbone to Top Results"" (2022)",,189,Python,27102,125,0,12,research,,,,,,,
https://github.com/khanhnamle1994/MetaRec,PyTorch Implementations For A Series Of Deep Learning-Based Recommendation Models,,281,Python,10009,202,13,166,research,,,,,,,
https://github.com/GeminiLight/drl-sfcp,PyTorch implementation of DRL-SFCP algorithm.,,19,Python,6987,64,0,1,research,,,,,,,
https://github.com/yangxue0827/R-DFPN_FPN_Tensorflow,R-DFPN: Rotation Dense Feature Pyramid Networks (Tensorflow),http://www.mdpi.com/2072-4292/10/1/132,119,Python,51944,119,0,370,research,,,,,,,
https://github.com/sktime/sktime,A unified framework for machine learning with time series,https://www.sktime.net,7003,Python,85456,918,0,54,library,,,,,,,
https://github.com/gottingen/search-legend,docs for search system and ai infra,,226,C++,662668,3429,31,497,research,,,,,,,
https://github.com/NewComer00/tflite4zero_env,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýzeroýýýýýýýýýýýýýýýýýýýýýýýýýýýtensorflow-liteýýýýýýýýýC++ýýýýýýýýýýýýýýýýýý | a C++ Environment for Building Tensorflow-lite Projects on Raspberry Pi Zero (armv6),,10,C++,116808,1522,6,360,Other,framework/library,,,,,,
https://github.com/nv-nguyen/pizza,"[3DV 2022 (Oral)] Pytorch implementation of ""PIZZA: A Powerful Image-only Zero-Shot Zero-CAD Approach to 6 DoF Tracking"" paper",,64,Python,107080,1786,0,93,research,,,,,,,
https://github.com/OpenNMT/OpenNMT-py,Open Source Neural Machine Translation and (Large) Language Models in PyTorch,https://opennmt.net/,6329,Python,17607,140,3,27,framework,research,,,,,,
https://github.com/gmlwns2000/sharkshark-4k,Upscale Twitch stream and restream into Twitch or RTMP or File.,,14,Python,9327,90,5,24,system,,,,,,,
https://github.com/MichalGeyer/plug-and-play,Official Pytorch Implementation for ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Plug-and-Pla,,703,Python,7441,33,0,6,research,,,,,,,
https://github.com/apxlwl/tensorflow2.0-yolov3,tensorflow2.0 implementation of Yolov3,,34,Python,14373,38,0,1,Other,YOLOv3 implementation,,,,,,
https://github.com/Abe404/root_painter,RootPainter: Deep Learning Segmentation of Biological Images with Corrective Annotation,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.18387,43,Python,6088,48,0,17,system,research,,,,,,
https://github.com/cure-lab/LTSF-Linear,"[AAAI-23 Oral] Official implementation of the paper ""Are Transformers Effective for Time Series Forecasting?""",,1419,Python,7264,87,0,12,research,,,,,,,
https://github.com/jameschapman19/cca_zoo,"Canonical Correlation Analysis Zoo: A collection of Regularized, Deep Learning based, Kernel, and Probabilistic methods in a scikit-learn style framework",https://cca-zoo.readthedocs.io/en/latest/,152,Python,5783,77,0,2,library,,,,,,,
https://github.com/HJ-harry/MCG_diffusion,"Official PyTorch implementation of the NeurIPS 2022 paper ""Improving Diffusion Models for Inverse Problems using Manifold Constraints (https://arxiv.org/abs/2206.00941)""",,161,Python,7921,53,0,4,research,,,,,,,
https://github.com/shenwei1231/caffe-DeepRegressionForests,Code for DeepRegressionForests,,46,C++,39680,222,3,1,research,,,,,,,
https://github.com/cpnota/autonomous-learning-library,A PyTorch library for building deep reinforcement learning agents.,,610,Python,8529,166,0,8,library,,,,,,,
https://github.com/facebookresearch/fairscale,PyTorch extensions for high performance and large scale training.,,2622,Python,27343,248,0,21,library,,,,,,,
https://github.com/wubinzzu/NeuRec,Next RecSys Library,,1020,Python,6429,59,0,4,library,Collection of models,,,,,,
https://github.com/zw76859420/ASR_Syllable,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,,157,Python,7067,62,0,21,research,,,,,,,
https://github.com/stoneyang-face/caffe_facenet,Forked from https://github.com/tyandzx/caffe,,17,C++,40491,258,3,24,Other,Fork from caffe,,,,,,
https://github.com/BinLiang-NLP/TPDG,[WWW 2021] Target-adaptive Graph for Cross-target Stance Detection,https://dl.acm.org/doi/abs/10.1145/3442381.3449790,13,Python,27605,137,0,35,research,,,,,,,
https://github.com/bojone/bert4keras,keras implement of transformers for humans,https://kexue.fm/archives/6915,5167,Python,9331,42,0,2,Other,Transformer reimplementation,,,,,,
https://github.com/NVlabs/RIO,Official PyTorch implementation of RIO,https://arxiv.org/abs/2104.05702,18,Python,26766,270,0,22,research,,,,,,,
https://github.com/psnonis/FinBERT,BERT for Finance : UC Berkeley MIDS w266 Final Project,,184,C++,19134,181,12,114,research,,,,,,,
https://github.com/bysowhat/Densenet,An tensorflow(slim) implementation of Densenet,,18,Python,11092,114,0,4,research,,,,,,,
https://github.com/Zhiquan-Wen/D-VQA,"PyTorch implementation of ""Debiased Visual Question Answering from Feature and Sample Perspectives"" (NeurIPS 2021)",,21,Python,6047,58,0,2,research,,,,,,,
https://github.com/miccaiif/WENO,Official PyTorch implementation of our NeurIPS 2022 paper: Weakly Supervised Knowledge Distillation for Whole Slide Image Classification,,42,Python,7623,23,0,2,research,,,,,,,
https://github.com/charlesChen02/RandLA-pytorch,Improved pytorch implementation of RandLA (https://arxiv.org/abs/1911.11236) with easier transferability and reproductibility,,10,C++,9540,37,0,1,research,,,,,,,
https://github.com/BatBate/Meta-RL,Tensorflow implementation of SNAIL and RL2,,11,Python,8780,85,0,12,Other,Collection of models,,,,,,
https://github.com/kendryte/kendryte-tensorflow,"Tensorflow for Kendryte, optimized for KPU",,58,C++,675206,4300,6,424,library,TensorFlow fork,,,,,,
https://github.com/autorope/donkeycar,Open source hardware and software platform to build a small scale self driving car.,http://www.donkeycar.com,2882,Python,21008,175,0,4,library,,,,,,,
https://github.com/CMU-Perceptual-Computing-Lab/openpose,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",https://cmu-perceptual-computing-lab.github.io/openpose,28532,C++,20988,188,0,78,system,research,,,,,,
https://github.com/lanpa/tensorboardX,"tensorboard for pytorch (and chainer, mxnet, numpy, ...)",https://tensorboardx.readthedocs.io/en/latest/tensorboard.html,7713,Python,5208,96,0,19,library,,,,,,,
https://github.com/Feynman27/pytorch-detect-to-track,A pytorch implementation of Detect and Track (https://arxiv.org/abs/1710.03958),,119,Python,23100,117,0,14,research,,,,,,,
https://github.com/microsoft/Bringing-Old-Photos-Back-to-Life,Bringing Old Photo Back to Life (CVPR 2020 oral),https://arxiv.org/abs/2004.09484,13889,Python,6599,63,0,22,system,research,,,,,,
https://github.com/Qiuzhongyuan/pointpillars_pytorch_trt,,,75,C++,139274,1249,0,206,Tool,research prototype adapted for deployment,,,,,,
https://github.com/jasonustc/caffe-multigpu,linux && windows compatible caffe,,14,C++,40796,259,3,24,library,Fork from caffe,,,,,,
https://github.com/jokieleung/NTRD,"the Pytorch implementation for our EMNLP 2021 paper ""Learning Neural Templates for Recommender Dialogue System""",,28,Python,5051,14,0,4,research,,,,,,,
https://github.com/CannyLab/rinokeras,Tensorflow + Keras Algorithms repository for the CannyLab,,10,Python,8936,178,0,29,Unknown,research or education,,,,,,
https://github.com/YannDubs/lossyless,"Generic image compressor for machine learning. Pytorch code for our paper ""Lossy compression for lossless prediction"".",,102,Python,5914,69,3,20,research,,,,,,,
https://github.com/modal-labs/modal-examples,Examples of programs built using Modal,https://modal.com/docs,401,Python,7094,124,0,80,Other,Collection of examples,,,,,,
https://github.com/Rumeysakeskin/Turkish-Text-to-Speech,Speech synthesis (TTS) in low-resource languages by training from scratch with Fastpitch and fine-tuning with HifiGan,,20,Python,10573,103,1,11,Unknown,Tool/framework/research,,,,,,
https://github.com/yangxue0827/h2rbox-mmrotate,PyTorch Implementation for H2RBox,,78,Python,31710,467,0,30,research,,,,,,,
https://github.com/Maratyszcza/caffe-nnpack,Caffe with NNPACK integration,,60,C++,40490,259,3,24,library,Fork from caffe,,,,,,
https://github.com/DerryHub/BEVFormer_tensorrt,"BEVFormer inference on TensorRT, including INT8 Quantization and Custom TensorRT Plugins (float/half/half2/int8).",,250,Python,26077,401,0,2,Tool,Ml models packaged for deployment,,,,,,
https://github.com/crazydonkey200/neural-symbolic-machines,"Neural Symbolic Machines is a framework to integrate neural networks and symbolic representations using reinforcement learning, with applications in program synthesis and semantic parsing.",,376,Python,6489,36,0,11,framework,research,,,,,,
https://github.com/Arena-Rosnav/arena-rosnav,,,32,C++,12239,124,0,83,Unknown,"Unifinished, in active development",,,,,,
https://github.com/GabrieleLagani/HebbianLearning,Pytorch implementation of Hebbian learning algorithms to train deep convolutional neural networks.,,15,Python,14031,115,0,0,research,,,,,,,
https://github.com/RayeRen/multilingual-kd-pytorch,"ICLR2019, Multilingual Neural Machine Translation with Knowledge Distillation",,69,Python,11315,123,0,2,research,,,,,,,
https://github.com/generalized-iou/Detectron.pytorch,,,124,Python,21901,139,0,26,research,,,,,,,
https://github.com/tsunghan-wu/RandLA-Net-pytorch,:four_leaf_clover: Pytorch Implementation of RandLA-Net (https://arxiv.org/abs/1911.11236),,95,C++,8394,29,0,1,research,,,,,,,
https://github.com/szemenyeim/DynEnv,Dynamic Simulation Environments for Reinforcement Learning,,13,Python,5515,36,0,2,,,,,,,,
https://github.com/github-luffy/PFLD-68points-tensorflow,,,13,Python,22851,87,0,16,,,,,,,,
https://github.com/dimdano/adapt,Fast Emulation of Approximate DNN Accelerators in PyTorch,,12,C,11186,111,2,5,,,,,,,,
https://github.com/SimonBlanke/Hyperactive,An optimization and data collection toolbox for convenient and fast prototyping of computationally expensive models.,https://simonblanke.github.io/hyperactive-documentation,472,Python,6400,106,0,3,,,,,,,,
https://github.com/CommonRoad/crgeo,Graph neural networks for autonomous driving,https://commonroad.in.tum.de/tools/commonroad-geometric,25,Python,52862,633,1,10,,,,,,,,
https://github.com/pcyin/pytorch_neural_symbolic_machines,A PyTorch Implementation of Neural Symbolic Machines by Liang et al. (2018),,57,Python,7230,46,0,2,,,,,,,,
https://github.com/paul007pl/MVP_Benchmark,MVP Benchmark for Multi-View Partial Point Cloud Completion and Registration,https://mvp-dataset.github.io/,110,Python,6336,103,0,18,,,,,,,,
https://github.com/Zhen-Dong/HAWQ,"Quantization library for PyTorch. Support low-precision and mixed-precision quantization, with hardware implementation through TVM.",,362,Python,9226,28,0,2,,,,,,,,
https://github.com/Marc56K/ElectricityMeterCam,A teeny-tiny CNN that runs on a ESP32-Camera to read digits of a ordinary electricity meter.,,22,C,35029,20,5,10,,,,,,,,
https://github.com/itsamitgoel/Gun-Detector,Gun detector is a custom object detector built using Tensorflow. It is used to track guns and weapons.,,53,Python,149863,1274,13,1140,,,,,,,,
https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,"Simple Reinforcement learning tutorials, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",https://mofanpy.com/tutorials/machine-learning/reinforcement-learning/,8352,Python,6066,56,0,2,,,,,,,,
https://github.com/NVIDIA-AI-IOT/torch2trt,An easy to use PyTorch to TensorRT converter,,4194,Python,8172,164,0,3,,,,,,,,
https://github.com/VITA-Group/FasterSeg,"[ICLR 2020] ""FasterSeg: Searching for Faster Real-time Semantic Segmentation"" by Wuyang Chen, Xinyu Gong, Xianming Liu, Qian Zhang, Yuan Li, Zhangyang Wang",,521,Python,6819,56,4,7,,,,,,,,
https://github.com/lxc86739795/vehicle_reid_by_parsing,"This repo gives the code for the paper ""Xinchen Liu, Wu Liu, Jinkai Zheng, Chenggang Yan, Tao Mei: Beyond the Parts: Learning Multi-view Cross-part Correlation for Vehicle Re-identification. ACM MM 2020"".",,37,Python,22789,123,0,0,,,,,,,,
https://github.com/yerfor/GeneFace,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,,1640,Python,20831,270,1,59,,,,,,,,
https://github.com/Mountchicken/CTPN_CRNN_ChineseOCR_PyQt5,"CTPN and CRNN based Chinese OCR, developed with PyQt5",,16,Python,14456,30,2,6,,,,,,,,
https://github.com/Skylark0924/Machine-Learning-is-ALL-You-Need,"ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýMachine Learning ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý: ML + DL + RL basic codes and notes by sklearn, PyTorch, TensorFlow, Keras & the most important, from scratch!ýýýýýýýýýýýý This repository is ALL You Need!",,352,Python,7586,112,1,101,,,,,,,,
https://github.com/PINTO0309/onnx2tf,"Self-Created Tools to convert ONNX files (NCHW) to TensorFlow/TFLite/Keras format (NHWC). The purpose of this tool is to solve the massive Transpose extrapolation problem in onnx-tensorflow (onnx-tf). I don't need a Star, but give me a pull request.",,402,Python,32606,215,0,32,,,,,,,,
https://github.com/ffiirree/cv-models,Models for Computer Vision,,17,Python,9869,111,0,2,,,,,,,,
https://github.com/microsoft/AdaMix,This is the implementation of the paper AdaMix: Mixture-of-Adaptations for Parameter-efficient Model Tuning (https://arxiv.org/abs/2205.12410). ,,108,Python,203712,885,0,99,,,,,,,,
https://github.com/liuzuxin/OSRL,ýýýýýýýýýýýý Elegant implementations of offline safe RL algorithms in PyTorch,https://offline-saferl.org,97,Python,5523,35,0,1,,,,,,,,
https://github.com/richardwth/MMD-GAN,Improving MMD-GAN training with repulsive loss function,,84,Python,5587,12,0,0,,,,,,,,
https://github.com/andrewekhalel/edafa,"Test Time Augmentation (TTA) wrapper for computer vision tasks: segmentation, classification, super-resolution, ... etc.",,125,Python,12664,112,0,16,,,,,,,,
https://github.com/man805/Diffusion-Video-Autoencoders,"An official implementation of ""Diffusion Video Autoencoders: Toward Temporally Consistent Face Video Editing via Disentangled Video Encoding"" (CVPR 2023) in PyTorch.",http://diff-video-ae.github.io,92,Python,5704,36,0,0,,,,,,,,
https://github.com/craftGBD/caffe-GBD,optimized caffe for GBD,,26,C++,38575,245,2,27,,,,,,,,
https://github.com/microsoft/LiST,Lite Self-Training ,,28,Python,7349,25,0,542,,,,,,,,
https://github.com/ihdia/BoundaryNet,BoundaryNet - A Semi-Automatic Layout Annotation Tool,https://ihdia.iiit.ac.in/BoundaryNet/,21,Python,19490,131,0,50,,,,,,,,
https://github.com/Andy-zhujunwen/pytorch-Pyramid-Attention-Networks-PAN-,train code + inference code were released. [pytorch version],,17,Python,56765,326,2,10,,,,,,,,
https://github.com/ruiking04/COCA,Deep Contrastive One-Class Time Series Anomaly Detection,,20,Python,8420,122,0,3,,,,,,,,
https://github.com/dongkwonjin/Eigenlanes,"Official code for ""Eigenlanes: Data-Driven Lane Descriptors for Structurally Diverse Lanes"", CVPR2022",,120,Python,9844,179,0,15,,,,,,,,
https://github.com/ml-jku/tensorflow-layer-library,Tensorflow Layer Library (TeLL),,10,Python,6813,36,0,11,,,,,,,,
https://github.com/mozilla/DeepSpeech,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.",,23279,C++,9222,238,0,75,,,,,,,,
https://github.com/charliememory/Disentangled-Person-Image-Generation,"Tensorflow implementation of CVPR 2018 paper ""Disentangled Person Image Generation""",http://homes.esat.kuleuven.be/~liqianma/CVPR18_DPIG/,163,Python,8147,39,0,0,,,,,,,,
https://github.com/mlvlab/TokenMixup,"Official pytorch implementation of NeurIPS 2022 paper, TokenMixup",,43,Python,61401,512,0,8,,,,,,,,
https://github.com/kmeng01/rome,Locating and editing factual associations in GPT (NeurIPS 2022),https://rome.baulab.info,415,Python,7868,79,0,24,,,,,,,,
https://github.com/ShaharAssenheim/Image-Style-Transfer-Using-Convolutional-Neural-Network,Transfer any image to an artistic image by using Convolutional Neural Network,,13,Python,78485,2,0,1,,,,,,,,
https://github.com/heronsystems/adeptRL,Reinforcement learning framework to accelerate research,,202,Python,7211,138,0,4,,,,,,,,
https://github.com/920232796/bert_seq2seq,pytorchï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Bert ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,1208,Python,6233,113,0,9,,,,,,,,
https://github.com/tensorflow/mesh,Mesh TensorFlow: Model Parallelism Made Easier,,1476,Python,24770,81,0,16,,,,,,,,
https://github.com/WenjieDu/PyPOTS,"A Python toolbox/library for machine learning on partially-observed time series with PyTorch, including SOTA models supporting tasks of imputation, classification, clustering, and forecasting on incomplete (irregularly-sampled) multivariate time series with missing values. https://arxiv.org/abs/2305.18811",https://pypots.com,484,Python,10127,187,0,2,,,,,,,,
https://github.com/rohitgirdhar/AttentionalPoolingAction,"Code/Model release for NIPS 2017 paper ""Attentional Pooling for Action Recognition""",https://rohitgirdhar.github.io/AttentionalPoolingAction/,256,Python,9061,77,0,3,,,,,,,,
https://github.com/NervanaSystems/he-transformer,nGraph-HE: Deep learning with Homomorphic Encryption (HE) through Intel nGraph,,219,C++,14517,124,0,32,,,,,,,,
https://github.com/ZhaoJ9014/face.evoLVe,ýýýýýýýýýýýýýýýýýýýýýýýýHigh-Performance Face Recognition Library on PaddlePaddle & PyTorchýýýýýýýýýýýýýýýýýýýýýýýý,,3275,Python,5430,67,0,15,,,,,,,,
https://github.com/onnx/onnx,Open standard for machine learning interoperability,https://onnx.ai/,15842,Python,49975,507,4028,35,,,,,,,,
https://github.com/MaxSobolMark/HardRLWithYoutube,"TensorFlow implementation of ""Playing hard exploration games by watching YouTube""",,37,Python,11146,154,0,29,,,,,,,,
https://github.com/wutong16/DistributionBalancedLoss,"[ ECCV 2020 Spotlight ] Pytorch implementation for ""Distribution-Balanced Loss for Multi-Label Classification in Long-Tailed Datasets""",,343,Python,5955,78,0,4,,,,,,,,
https://github.com/balancap/tf-imagenet,TensorFlow ImageNet - Training and SOTA checkpoints,,49,Python,9560,72,0,3,,,,,,,,
https://github.com/olexatourko/ml-garbage-classifier-tensorflow,"My attempt at writing a garbage classifier, using Tensorflow.",,14,Python,42600,26,0,1,,,,,,,,
https://github.com/heagoo/intel_caffe_ssd,,,12,C++,54611,342,3,28,,,,,,,,
https://github.com/mattochal/imbalanced_fsl_public,"PyTorch implementation for ""Few-Shot Learning with Class Imbalance""",,31,Python,5634,54,0,2,,,,,,,,
https://github.com/tensorforce/tensorforce,Tensorforce: a TensorFlow library for applied reinforcement learning,,3256,Python,20505,167,1,17,,,,,,,,
https://github.com/TencentYoutuResearch/BaseArchitecture-EAT,"Official pytorch implementation of the paper ""Analogous to Evolutionary Algorithm: Designing a Unified Sequence Model, NeurIPS'21"".",,15,Python,21503,160,1,8,,,,,,,,
